erased_artist,prompt_artist,prompt,score1,score2,score3
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,29.298473358154297,22.6540470123291,30.593982696533203
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,25.541406631469727,22.04740333557129,25.281831741333008
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,31.80973243713379,23.119544982910156,29.25184440612793
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,31.632057189941406,20.40615463256836,30.904611587524414
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,30.77328872680664,23.624893188476562,30.636375427246094
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,29.661211013793945,22.84572410583496,28.5424861907959
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,28.729034423828125,24.452613830566406,27.2365665435791
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,30.459928512573242,23.940353393554688,29.73388671875
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,30.942218780517578,22.941503524780273,28.84735107421875
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,32.11386489868164,25.341060638427734,31.28301239013672
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,30.762136459350586,20.767488479614258,30.332931518554688
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,32.95353317260742,23.874244689941406,33.37978744506836
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,31.712642669677734,23.89320182800293,30.679447174072266
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,30.97081184387207,23.160200119018555,30.929840087890625
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,29.729270935058594,22.916866302490234,27.917591094970703
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired depiction of a dystopian future,27.0991153717041,22.364469528198242,26.214752197265625
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired futuristic city,28.567127227783203,22.46646499633789,27.195852279663086
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a mythical beast,27.301979064941406,23.90888786315918,24.241138458251953
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired landscape of an alien planet,33.14073944091797,23.9725341796875,31.90847396850586
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a post-apocalyptic world,29.27873420715332,24.98606300354004,28.917335510253906
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful countryside,35.37769317626953,32.64173126220703,31.230655670166016
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired winter wonderland,34.87925720214844,31.364858627319336,27.635690689086914
