,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,0,Image of Cassette Player,Cassette Player,3990,cassette,481,0.17301566898822784,radio,754,0.11686329543590546,cassette player,482,0.08299079537391663,tape player,848,0.057640738785266876,CD player,485,0.050074752420186996
1,1,Image of Cassette Player,Cassette Player,1311,radio,754,0.16085393726825714,CD player,485,0.09029113501310349,tape player,848,0.07348570972681046,cassette player,482,0.06889738887548447,cassette,481,0.06162296608090401
2,2,Image of Cassette Player,Cassette Player,9473,microwave,651,0.275469034910202,safe,771,0.05334380641579628,tape player,848,0.04309005290269852,radio,754,0.0317201241850853,CD player,485,0.023846406489610672
3,3,Image of Cassette Player,Cassette Player,7618,cassette player,482,0.15057948231697083,CD player,485,0.1337568759918213,tape player,848,0.11478721350431442,radio,754,0.10759346932172775,cassette,481,0.054857075214385986
4,4,Image of Cassette Player,Cassette Player,8274,tape player,848,0.23301857709884644,cassette player,482,0.14340989291667938,cassette,481,0.08494272828102112,CD player,485,0.054364897310733795,radio,754,0.04519421607255936
5,5,Image of Cassette Player,Cassette Player,8369,CD player,485,0.3405876159667969,radio,754,0.169265478849411,tape player,848,0.07247280329465866,cassette player,482,0.030855048447847366,digital clock,530,0.021405264735221863
6,6,Image of Cassette Player,Cassette Player,2266,tape player,848,0.1854403018951416,CD player,485,0.13482046127319336,cassette player,482,0.10428237169981003,radio,754,0.04547997564077377,cassette,481,0.03484085947275162
7,7,Image of Cassette Player,Cassette Player,5027,tape player,848,0.23843622207641602,cassette player,482,0.15541020035743713,CD player,485,0.06842771917581558,radio,754,0.0669475644826889,microwave,651,0.021212751045823097
8,8,Image of Cassette Player,Cassette Player,9966,CD player,485,0.23721759021282196,cassette player,482,0.10779286921024323,tape player,848,0.10357365757226944,radio,754,0.08254485577344894,loudspeaker,632,0.022099705412983894
9,9,Image of Cassette Player,Cassette Player,9403,cassette player,482,0.15693719685077667,cassette,481,0.13961684703826904,tape player,848,0.0949883982539177,loudspeaker,632,0.04766673967242241,Polaroid camera,732,0.0075599318370223045
10,10,Image of Cassette Player,Cassette Player,4866,cash machine,480,0.22945435345172882,CD player,485,0.06909320503473282,cassette player,482,0.06109493970870972,tape player,848,0.05811750888824463,cassette,481,0.029417024925351143
11,11,Image of Cassette Player,Cassette Player,7086,cassette,481,0.1935918927192688,tape player,848,0.1466376632452011,cassette player,482,0.14148953557014465,CD player,485,0.015109149739146233,modem,662,0.012049593031406403
12,12,Image of Cassette Player,Cassette Player,2277,radio,754,0.12137636542320251,notebook,681,0.11291198432445526,CD player,485,0.0964236706495285,modem,662,0.05559917166829109,cellular telephone,487,0.040898751467466354
13,13,Image of Cassette Player,Cassette Player,8834,tape player,848,0.16721197962760925,cassette player,482,0.1277492791414261,cassette,481,0.10452727973461151,CD player,485,0.07540339231491089,iPod,605,0.023401712998747826
14,14,Image of Cassette Player,Cassette Player,3736,radio,754,0.14273814857006073,tape player,848,0.12892064452171326,CD player,485,0.09339835494756699,cassette player,482,0.07801235467195511,cassette,481,0.044078223407268524
15,15,Image of Cassette Player,Cassette Player,3753,radio,754,0.27426475286483765,CD player,485,0.11578171700239182,tape player,848,0.049943819642066956,cassette player,482,0.044463060796260834,cassette,481,0.014636288397014141
16,16,Image of Cassette Player,Cassette Player,7545,radio,754,0.13052810728549957,tape player,848,0.049555499106645584,CD player,485,0.04578490927815437,cassette player,482,0.04159141331911087,projector,745,0.03140242397785187
17,17,Image of Cassette Player,Cassette Player,5592,iPod,605,0.3754742443561554,loudspeaker,632,0.033821698278188705,cassette player,482,0.030642973259091377,CD player,485,0.02648901753127575,tape player,848,0.023746468126773834
18,18,Image of Cassette Player,Cassette Player,4528,radio,754,0.18311545252799988,cassette,481,0.13850517570972443,tape player,848,0.10040780156850815,cassette player,482,0.08262863010168076,CD player,485,0.045811135321855545
19,19,Image of Cassette Player,Cassette Player,1385,radio,754,0.22857217490673065,tape player,848,0.0906108021736145,CD player,485,0.08631688356399536,cassette player,482,0.04715605080127716,cassette,481,0.012690648436546326
20,20,Image of Cassette Player,Cassette Player,1229,CD player,485,0.18757107853889465,tape player,848,0.0482037179172039,radio,754,0.04312382638454437,cassette player,482,0.03018346056342125,desktop computer,527,0.020282454788684845
21,21,Image of Cassette Player,Cassette Player,2988,tape player,848,0.12638038396835327,CD player,485,0.06282581388950348,radio,754,0.05164126679301262,cassette player,482,0.05030709132552147,cassette,481,0.04859207570552826
22,22,Image of Cassette Player,Cassette Player,9837,radio,754,0.2537692189216614,CD player,485,0.17261086404323578,tape player,848,0.06822821497917175,cassette player,482,0.04821363836526871,cassette,481,0.029893364757299423
23,23,Image of Cassette Player,Cassette Player,1245,CD player,485,0.16590356826782227,radio,754,0.1641344577074051,tape player,848,0.07726027071475983,cassette player,482,0.049762360751628876,microwave,651,0.02229294739663601
24,24,Image of Cassette Player,Cassette Player,6897,CD player,485,0.16135288774967194,radio,754,0.0622197724878788,Polaroid camera,732,0.059598490595817566,projector,745,0.0327024832367897,tape player,848,0.023202938959002495
25,25,Image of Cassette Player,Cassette Player,2952,radio,754,0.13137510418891907,projector,745,0.10460671037435532,CD player,485,0.07448811084032059,printer,742,0.04773949086666107,tape player,848,0.028572693467140198
26,26,Image of Cassette Player,Cassette Player,5071,CD player,485,0.21022364497184753,tape player,848,0.12085370719432831,cassette player,482,0.06819520145654678,radio,754,0.0678335651755333,cassette,481,0.012006287463009357
27,27,Image of Cassette Player,Cassette Player,4469,CD player,485,0.23751384019851685,tape player,848,0.11880557984113693,cassette player,482,0.0813947394490242,radio,754,0.05038485676050186,cassette,481,0.021950067952275276
28,28,Image of Cassette Player,Cassette Player,3360,tape player,848,0.17215321958065033,CD player,485,0.09818709641695023,cassette player,482,0.08952280133962631,printer,742,0.03804292902350426,cassette,481,0.02552138641476631
29,29,Image of Cassette Player,Cassette Player,6974,iPod,605,0.29309970140457153,remote control,761,0.013495166786015034,loudspeaker,632,0.012315412983298302,CD player,485,0.009064395911991596,radio,754,0.00784135702997446
30,30,Image of Cassette Player,Cassette Player,1547,radio,754,0.2143217921257019,CD player,485,0.18120872974395752,tape player,848,0.07359948754310608,cassette player,482,0.05376674607396126,loudspeaker,632,0.016745390370488167
31,31,Image of Cassette Player,Cassette Player,8395,radio,754,0.2379526048898697,CD player,485,0.1246795505285263,tape player,848,0.04318971931934357,cassette player,482,0.039054881781339645,cassette,481,0.03161609172821045
32,32,Image of Cassette Player,Cassette Player,1800,tape player,848,0.15523679554462433,cassette player,482,0.11339244246482849,CD player,485,0.06394565105438232,radio,754,0.03306726738810539,cassette,481,0.027986394241452217
33,33,Image of Cassette Player,Cassette Player,9244,CD player,485,0.20354023575782776,tape player,848,0.08941715210676193,cassette player,482,0.06246089190244675,radio,754,0.06039391830563545,modem,662,0.027494827285408974
34,34,Image of Cassette Player,Cassette Player,8588,CD player,485,0.17338721454143524,radio,754,0.11555108428001404,tape player,848,0.07808983325958252,cassette player,482,0.06257089972496033,Polaroid camera,732,0.04795313626527786
35,35,Image of Cassette Player,Cassette Player,9801,radio,754,0.15870071947574615,CD player,485,0.1567258983850479,tape player,848,0.07539645582437515,cassette player,482,0.0544816255569458,cassette,481,0.02973923459649086
36,36,Image of Cassette Player,Cassette Player,3004,radio,754,0.20313701033592224,CD player,485,0.12604323029518127,tape player,848,0.03587811440229416,cassette player,482,0.035574063658714294,oscilloscope,688,0.017757151275873184
