,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,0,Image of Cassette Player,Cassette Player,3990,cassette,481,0.2922278,cassette player,482,0.094424374,tape player,848,0.08606481,radio,754,0.028291348,loudspeaker,632,0.012578004
1,1,Image of Cassette Player,Cassette Player,1311,cassette,481,0.14479788,tape player,848,0.124287136,cassette player,482,0.10131534,radio,754,0.0290111,CD player,485,0.01754748
2,2,Image of Cassette Player,Cassette Player,9473,radio,754,0.2939704,tape player,848,0.08149833,cassette player,482,0.061626773,CD player,485,0.059350986,cassette,481,0.01833665
3,3,Image of Cassette Player,Cassette Player,7618,tape player,848,0.13799405,cassette player,482,0.08628093,cassette,481,0.05727658,CD player,485,0.053250812,radio,754,0.0362236
4,4,Image of Cassette Player,Cassette Player,8274,cassette player,482,0.26818618,tape player,848,0.20843889,cassette,481,0.06613042,Polaroid camera,732,0.036291957,radio,754,0.019893251
5,5,Image of Cassette Player,Cassette Player,8369,tape player,848,0.092622094,CD player,485,0.088060446,cassette player,482,0.08786553,home theater,598,0.052844003,radio,754,0.04336933
6,6,Image of Cassette Player,Cassette Player,2266,tape player,848,0.37487006,cassette player,482,0.17497486,cassette,481,0.06771186,CD player,485,0.040213484,radio,754,0.017858773
7,7,Image of Cassette Player,Cassette Player,5027,projector,745,0.09894101,radio,754,0.09029897,tape player,848,0.090026535,cassette player,482,0.047002114,Polaroid camera,732,0.04663089
8,8,Image of Cassette Player,Cassette Player,9966,radio,754,0.19627644,tape player,848,0.16500054,cassette player,482,0.08377508,CD player,485,0.07977718,cassette,481,0.024444649
9,9,Image of Cassette Player,Cassette Player,9403,cassette player,482,0.15759361,cassette,481,0.15723819,tape player,848,0.07505185,loudspeaker,632,0.04872726,Polaroid camera,732,0.046743054
10,10,Image of Cassette Player,Cassette Player,4866,CD player,485,0.11560415,remote control,761,0.114982314,tape player,848,0.066443615,cassette player,482,0.041271124,cassette,481,0.032669585
11,11,Image of Cassette Player,Cassette Player,7086,radio,754,0.17227675,tape player,848,0.10940447,CD player,485,0.0955421,cassette player,482,0.08381298,cassette,481,0.037294596
12,12,Image of Cassette Player,Cassette Player,2277,tape player,848,0.23276295,cassette player,482,0.12766781,CD player,485,0.097820565,radio,754,0.03726774,cassette,481,0.026002513
13,13,Image of Cassette Player,Cassette Player,8834,tape player,848,0.13731444,cassette player,482,0.12947768,CD player,485,0.09467994,radio,754,0.07830248,loudspeaker,632,0.018985767
14,14,Image of Cassette Player,Cassette Player,3736,CD player,485,0.1761289,radio,754,0.14853303,tape player,848,0.061183754,cassette player,482,0.04065482,Polaroid camera,732,0.033647325
15,15,Image of Cassette Player,Cassette Player,3753,tape player,848,0.16523382,cassette player,482,0.1400642,cassette,481,0.090130076,radio,754,0.059588365,CD player,485,0.049609303
16,16,Image of Cassette Player,Cassette Player,7545,tape player,848,0.1685669,radio,754,0.15964714,CD player,485,0.09569036,cassette player,482,0.091415994,desktop computer,527,0.04659017
17,17,Image of Cassette Player,Cassette Player,5592,cassette player,482,0.13849433,tape player,848,0.13552488,loudspeaker,632,0.10279964,radio,754,0.09845653,Polaroid camera,732,0.067471
18,18,Image of Cassette Player,Cassette Player,4528,radio,754,0.17355715,CD player,485,0.14615229,tape player,848,0.087175556,cassette player,482,0.050052717,loudspeaker,632,0.044949792
19,19,Image of Cassette Player,Cassette Player,1385,tape player,848,0.17491548,cassette player,482,0.07662549,desktop computer,527,0.07193368,CD player,485,0.061655477,printer,742,0.044405047
20,20,Image of Cassette Player,Cassette Player,1229,cassette player,482,0.16628528,tape player,848,0.10560204,radio,754,0.10151412,CD player,485,0.07701524,cassette,481,0.04892232
21,21,Image of Cassette Player,Cassette Player,2988,tape player,848,0.14624931,radio,754,0.1009217,CD player,485,0.099076785,cassette player,482,0.08705189,cassette,481,0.059164245
22,22,Image of Cassette Player,Cassette Player,9837,tape player,848,0.12903908,CD player,485,0.1273906,cassette,481,0.10353173,cassette player,482,0.10106858,radio,754,0.0503187
23,23,Image of Cassette Player,Cassette Player,1245,cassette,481,0.3124208,tape player,848,0.14145538,cassette player,482,0.08253956,analog clock,409,0.020005347,radio,754,0.017282583
24,24,Image of Cassette Player,Cassette Player,6897,CD player,485,0.25046656,tape player,848,0.21113837,cassette player,482,0.084380716,radio,754,0.0665161,cassette,481,0.016816778
25,25,Image of Cassette Player,Cassette Player,2952,radio,754,0.18760471,tape player,848,0.17129532,cassette player,482,0.0936609,CD player,485,0.037535902,cassette,481,0.031162145
26,26,Image of Cassette Player,Cassette Player,5071,cassette,481,0.15101697,radio,754,0.14153285,tape player,848,0.09981017,cassette player,482,0.069480054,CD player,485,0.0281609
27,27,Image of Cassette Player,Cassette Player,4469,cassette,481,0.12271658,cassette player,482,0.115169264,tape player,848,0.11309888,radio,754,0.055557128,CD player,485,0.049421214
28,28,Image of Cassette Player,Cassette Player,3360,tape player,848,0.16366982,cassette player,482,0.11004244,CD player,485,0.05603297,cassette,481,0.043668307,radio,754,0.032059543
29,29,Image of Cassette Player,Cassette Player,6974,remote control,761,0.0812747,radio,754,0.07036575,cellular telephone,487,0.055780765,CD player,485,0.055230148,tape player,848,0.049181797
30,30,Image of Cassette Player,Cassette Player,1547,CD player,485,0.13835107,tape player,848,0.12085173,radio,754,0.11858914,cassette player,482,0.072756834,loudspeaker,632,0.014904826
31,31,Image of Cassette Player,Cassette Player,8395,tape player,848,0.123358935,CD player,485,0.06855383,cassette player,482,0.06645035,cassette,481,0.052984674,radio,754,0.03517477
32,32,Image of Cassette Player,Cassette Player,1800,tape player,848,0.29308698,cassette player,482,0.14181015,CD player,485,0.04222383,cassette,481,0.038395606,radio,754,0.021545993
33,33,Image of Cassette Player,Cassette Player,9244,tape player,848,0.2876713,cassette player,482,0.10899571,cassette,481,0.058637947,CD player,485,0.04849551,radio,754,0.03894316
34,34,Image of Cassette Player,Cassette Player,8588,radio,754,0.1750679,tape player,848,0.12303682,CD player,485,0.09281454,cassette player,482,0.053075444,Polaroid camera,732,0.036671944
35,35,Image of Cassette Player,Cassette Player,9801,CD player,485,0.1972308,tape player,848,0.18475874,cassette player,482,0.0829105,radio,754,0.06465518,cassette,481,0.019091077
36,36,Image of Cassette Player,Cassette Player,3004,radio,754,0.20088822,cassette,481,0.07251928,tape player,848,0.06403668,CD player,485,0.05322368,cassette player,482,0.04496982
37,37,Image of Cassette Player,Cassette Player,3060,Polaroid camera,732,0.31042066,cassette,481,0.2519882,tape player,848,0.040252637,cassette player,482,0.03224252,CD player,485,0.008021983
38,38,Image of Cassette Player,Cassette Player,9240,tape player,848,0.13590413,cassette player,482,0.10559524,radio,754,0.0700836,loudspeaker,632,0.054218315,CD player,485,0.04517045
39,39,Image of Cassette Player,Cassette Player,9657,radio,754,0.10954468,CD player,485,0.08318288,tape player,848,0.053573336,oscilloscope,688,0.034850612,cassette player,482,0.034385435
40,40,Image of Cassette Player,Cassette Player,8822,tape player,848,0.08781243,cassette player,482,0.077243075,CD player,485,0.0607982,radio,754,0.048889384,loudspeaker,632,0.024947897
41,41,Image of Cassette Player,Cassette Player,9272,radio,754,0.15477596,tape player,848,0.08298627,CD player,485,0.051009838,cassette player,482,0.0466523,cassette,481,0.02823626
42,42,Image of Cassette Player,Cassette Player,8866,tape player,848,0.30867222,cassette player,482,0.1004252,CD player,485,0.03735351,radio,754,0.03158915,cassette,481,0.02932394
43,43,Image of Cassette Player,Cassette Player,2764,tape player,848,0.25595218,cassette player,482,0.10174682,cassette,481,0.06775479,CD player,485,0.045592435,radio,754,0.038075563
44,44,Image of Cassette Player,Cassette Player,9268,tape player,848,0.1082842,cassette,481,0.097887844,cassette player,482,0.09751733,radio,754,0.054850567,CD player,485,0.019173324
45,45,Image of Cassette Player,Cassette Player,5888,radio,754,0.1654306,tape player,848,0.16334477,CD player,485,0.0987052,cassette player,482,0.0847348,cassette,481,0.014382618
46,46,Image of Cassette Player,Cassette Player,8356,CD player,485,0.14228602,tape player,848,0.11553621,cassette player,482,0.095710024,cassette,481,0.037813146,hand-held computer,590,0.027269159
47,47,Image of Cassette Player,Cassette Player,3844,tape player,848,0.19959334,cassette player,482,0.15071951,cassette,481,0.09313591,CD player,485,0.043442756,radio,754,0.039059307
48,48,Image of Cassette Player,Cassette Player,2345,cassette,481,0.35227695,cassette player,482,0.10896921,tape player,848,0.0923962,hard disc,592,0.01118689,CD player,485,0.0037813587
49,49,Image of Cassette Player,Cassette Player,9490,tape player,848,0.38352376,cassette player,482,0.1400838,CD player,485,0.06386121,cassette,481,0.025405146,radio,754,0.021593332
50,50,Image of Cassette Player,Cassette Player,6707,tape player,848,0.20224662,CD player,485,0.14449394,cassette player,482,0.06609452,cassette,481,0.059327792,radio,754,0.049168643
51,51,Image of Cassette Player,Cassette Player,3057,cassette,481,0.23321792,tape player,848,0.16889748,cassette player,482,0.15893778,radio,754,0.009939145,CD player,485,0.009740258
52,52,Image of Cassette Player,Cassette Player,4676,tape player,848,0.23396951,cassette player,482,0.2086373,CD player,485,0.08586585,cassette,481,0.06018122,radio,754,0.027333243
53,53,Image of Cassette Player,Cassette Player,5691,tape player,848,0.3266961,cassette player,482,0.1544862,CD player,485,0.09471633,radio,754,0.07494262,toaster,859,0.021756304
54,54,Image of Cassette Player,Cassette Player,7600,tape player,848,0.16183946,CD player,485,0.13247694,radio,754,0.121041656,cassette player,482,0.08728806,cassette,481,0.024808558
55,55,Image of Cassette Player,Cassette Player,4656,tape player,848,0.14323889,cassette player,482,0.116883986,CD player,485,0.07363342,radio,754,0.04312089,cassette,481,0.022118628
56,56,Image of Cassette Player,Cassette Player,4785,tape player,848,0.10909207,CD player,485,0.106028944,cassette player,482,0.07228037,radio,754,0.045205697,Polaroid camera,732,0.028524531
57,57,Image of Cassette Player,Cassette Player,3956,CD player,485,0.19575387,radio,754,0.13808379,cassette,481,0.09197385,tape player,848,0.044246856,cassette player,482,0.02854191
58,58,Image of Cassette Player,Cassette Player,9451,tape player,848,0.16951133,CD player,485,0.14868389,cassette player,482,0.080777526,desktop computer,527,0.05655494,cassette,481,0.027081093
59,59,Image of Cassette Player,Cassette Player,6788,cassette player,482,0.098060444,cassette,481,0.089151174,tape player,848,0.077194825,CD player,485,0.035583798,radio,754,0.014850719
60,60,Image of Cassette Player,Cassette Player,4592,tape player,848,0.14953598,cassette player,482,0.10860196,radio,754,0.10664111,cassette,481,0.07173037,CD player,485,0.038590062
61,61,Image of Cassette Player,Cassette Player,8032,tape player,848,0.2293967,cassette player,482,0.12105142,cassette,481,0.11911936,CD player,485,0.04112784,radio,754,0.02089665
62,62,Image of Cassette Player,Cassette Player,6567,tape player,848,0.20215195,cassette player,482,0.13019253,radio,754,0.049768496,cassette,481,0.035020314,loudspeaker,632,0.01614742
63,63,Image of Cassette Player,Cassette Player,9508,tape player,848,0.2046471,cassette player,482,0.16847205,CD player,485,0.0645341,cassette,481,0.022134807,radio,754,0.014318266
