erased_artist,prompt_artist,prompt,num,lpips_score
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,0,0.35386499762535095
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,0,0.7577323317527771
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,0,0.3196641802787781
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,0,0.592571496963501
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,0,0.40193939208984375
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,0,0.3768428862094879
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,0,0.425356388092041
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,0,0.31018194556236267
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,0,0.5492016673088074
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,0,0.4933556020259857
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,0,0.3897538483142853
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,0,0.36339566111564636
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,0,0.5587556958198547
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,0,0.3696669042110443
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,0,0.36665403842926025
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired depiction of a dystopian future,0,0.28608545660972595
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired futuristic city,0,0.4970489740371704
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a mythical beast,0,0.44205567240715027
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired landscape of an alien planet,0,0.3532423973083496
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a post-apocalyptic world,0,0.27559638023376465
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful countryside,0,0.25252264738082886
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired winter wonderland,0,0.43788138031959534
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a quaint village,0,0.3681560158729553
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage in the woods,0,0.3428840637207031
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a serene lakeside,0,0.2739447355270386
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired scene of a charming town,0,0.492621511220932
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil forest,0,0.30349650979042053
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired garden with a cozy cottage,0,0.340651273727417
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy cabin in the snow,0,0.4153996706008911
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a lighthouse,0,0.3176290988922119
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful harbor,0,0.3584417998790741
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage by the sea,0,0.4058802127838135
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a quaint street,0,0.4682038426399231
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a peaceful church,0,0.38107356429100037
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil stream,0,0.2862718403339386
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a magical forest,0,0.41045793890953064
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy autumn scene,0,0.28201574087142944
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired painting of a serene meadow,0,0.41299304366111755
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a peaceful park,0,0.37746191024780273
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a charming bridge,0,0.4274314343929291
KellyMcKernan,kilianeng,Neon-lit cyberpunk cityscape by Kilian Eng,0,0.5761025547981262
KellyMcKernan,kilianeng,Interstellar space station by Kilian Eng,0,0.7366164326667786
KellyMcKernan,kilianeng,Mysterious temple ruins by Kilian Eng,0,0.7159854769706726
KellyMcKernan,kilianeng,Artificial intelligence character by Kilian Eng,0,0.5562406778335571
KellyMcKernan,kilianeng,Science fiction book cover by Kilian Eng,0,0.6988133192062378
KellyMcKernan,kilianeng,Otherworldly landscape by Kilian Eng,0,0.6548665761947632
KellyMcKernan,kilianeng,Robotic creature design by Kilian Eng,0,0.3991798162460327
KellyMcKernan,kilianeng,Fantasy knight armor by Kilian Eng,0,0.5349442958831787
KellyMcKernan,kilianeng,Cybernetic plant life by Kilian Eng,0,0.6560873985290527
KellyMcKernan,kilianeng,Vaporwave-inspired digital art by Kilian Eng,0,0.6566897630691528
KellyMcKernan,kilianeng,Retro futuristic vehicle design by Kilian Eng,0,0.7787806987762451
KellyMcKernan,kilianeng,Cosmic horror illustration by Kilian Eng,0,0.4845570921897888
KellyMcKernan,kilianeng,Galactic exploration scene by Kilian Eng,0,0.546763002872467
KellyMcKernan,kilianeng,Alien planet ecosystem by Kilian Eng,0,0.6212720274925232
KellyMcKernan,kilianeng,Post-apocalyptic sci-fi landscape by Kilian Eng,0,0.6348342299461365
KellyMcKernan,kilianeng,Magical cyberspace portal by Kilian Eng,0,0.518185555934906
KellyMcKernan,kilianeng,Steampunk airship design by Kilian Eng,0,0.5797990560531616
KellyMcKernan,kilianeng,Robotic exosuit by Kilian Eng,0,0.5234577059745789
KellyMcKernan,kilianeng,Abstract sci-fi landscape by Kilian Eng,0,0.6255356073379517
KellyMcKernan,kilianeng,Cyberpunk fashion illustration by Kilian Eng,0,0.6259020566940308
KellyMcKernan,kellymckernan,Portrait of a woman with floral crown by Kelly McKernan,0,0.7538356184959412
KellyMcKernan,kellymckernan,Whimsical fairy tale scene by Kelly McKernan,0,0.7337280511856079
KellyMcKernan,kellymckernan,Figure in flowing dress by Kelly McKernan,0,0.8564289212226868
