erased_artist,prompt_artist,prompt,num,lpips_score
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,0,0.31136995553970337
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,1,0.3115733861923218
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,2,0.36959660053253174
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,3,0.2956279516220093
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,4,0.28467556834220886
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,0,0.584418535232544
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,1,0.6799953579902649
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,2,0.43178752064704895
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,3,0.5989105105400085
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,4,0.5116991996765137
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,0,0.31696462631225586
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,1,0.47888779640197754
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,2,0.24047157168388367
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,3,0.310099333524704
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,4,0.27933767437934875
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,0,0.3911243677139282
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,1,0.3723263144493103
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,2,0.43883004784584045
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,3,0.6640137434005737
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,4,0.4111027121543884
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,0,0.3710731267929077
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,1,0.633709192276001
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,2,0.41874003410339355
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,3,0.2910968065261841
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,4,0.3886156678199768
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,0,0.32688817381858826
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,1,0.41579771041870117
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,2,0.44994044303894043
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,3,0.43247562646865845
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,4,0.31200408935546875
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,0,0.35722991824150085
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,1,0.49481576681137085
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,2,0.3219830095767975
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,3,0.415960431098938
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,4,0.3696185052394867
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,0,0.2791118025779724
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,1,0.334801584482193
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,2,0.28902679681777954
