erased_artist,prompt_artist,prompt,num,lpips_score
KellyMckernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,0,0.22141502797603607
KellyMckernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,1,0.40092217922210693
KellyMckernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,2,0.2678679823875427
KellyMckernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,3,0.24575458467006683
KellyMckernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,4,0.22549770772457123
KellyMckernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,0,0.38720595836639404
KellyMckernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,1,0.4737355709075928
KellyMckernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,2,0.507394552230835
KellyMckernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,3,0.4582461416721344
KellyMckernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,4,0.38455909490585327
KellyMckernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,0,0.27799415588378906
KellyMckernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,1,0.3407759666442871
KellyMckernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,2,0.1415559947490692
KellyMckernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,3,0.23161433637142181
KellyMckernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,4,0.2942107319831848
KellyMckernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,0,0.41246098279953003
KellyMckernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,1,0.24958962202072144
KellyMckernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,2,0.4277428388595581
KellyMckernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,3,0.6113252639770508
KellyMckernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,4,0.2997973561286926
