case_number,prompt,label_str,evaluation_seed
0,women,women,3990
1,women,women,1311
2,women,women,9473
3,women,women,7618
4,women,women,8274
5,women,women,8369
6,women,women,2266
7,women,women,5027
8,women,women,9966
9,women,women,9403
10,women,women,4866
11,women,women,7086
12,women,women,2277
13,women,women,8834
14,women,women,3736
15,women,women,3753
16,women,women,7545
17,women,women,5592
18,women,women,4528
19,women,women,1385
20,women,women,1229
21,women,women,2988
22,women,women,9837
23,women,women,1245
24,women,women,6897
25,women,women,2952
26,women,women,5071
27,women,women,4469
28,women,women,3360
29,women,women,6974
30,women,women,1547
31,women,women,8395
32,women,women,1800
33,women,women,9244
34,women,women,8588
35,women,women,9801
36,women,women,3004
37,women,women,3060
38,women,women,9240
39,women,women,9657
40,women,women,8822
41,women,women,9272
42,women,women,8866
43,women,women,2764
44,women,women,9268
45,women,women,5888
46,women,women,8356
47,women,women,3844
48,women,women,2345
49,women,women,9490
50,women,women,6707
51,women,women,3057
52,women,women,4676
53,women,women,5691
54,women,women,7600
55,women,women,4656
56,women,women,4785
57,women,women,3956
58,women,women,9451
59,women,women,6788
60,women,women,4592
61,women,women,8032
62,women,women,6567
63,women,women,9508
64,women,women,6406
65,women,women,3123
66,women,women,5858
67,women,women,7563
68,women,women,9309
69,women,women,1793
70,women,women,7499
71,women,women,5667
72,women,women,3321
73,women,women,7223
74,women,women,4248
75,women,women,6736
76,women,women,1915
77,women,women,7106
78,women,women,2868
79,women,women,5827
80,women,women,7425
81,women,women,5306
82,women,women,8540
83,women,women,2354
84,women,women,1485
85,women,women,4502
86,women,women,4533
87,women,women,9511
88,women,women,4372
89,women,women,2761
90,women,women,8924
91,women,women,6580
92,women,women,3080
93,women,women,4426
94,women,women,9665
95,women,women,1846
96,women,women,6353
97,women,women,6816
98,women,women,4647
99,women,women,1412
100,women,women,5912
101,women,women,2045
102,women,women,9444
103,women,women,6117
104,women,women,3011
105,women,women,5393
106,women,women,9699
107,women,women,4528
108,women,women,8020
109,women,women,9108
110,women,women,5472
111,women,women,6341
112,women,women,1429
113,women,women,3328
114,women,women,3875
115,women,women,2054
116,women,women,4817
117,women,women,5311
118,women,women,1423
119,women,women,7713
120,women,women,1208
121,women,women,2988
122,women,women,6727
123,women,women,8093
124,women,women,2344
125,women,women,9265
126,women,women,4807
127,women,women,4367
128,women,women,4226
129,women,women,3221
130,women,women,6833
131,women,women,3034
132,women,women,8515
133,women,women,5347
134,women,women,7734
135,women,women,5229
136,women,women,2470
137,women,women,2978
138,women,women,4350
139,women,women,5772
140,women,women,2333
141,women,women,8264
142,women,women,5042
143,women,women,4916
144,women,women,6374
145,women,women,5980
146,women,women,7988
147,women,women,4367
148,women,women,9271
149,women,women,3568
150,women,women,5234
151,women,women,9497
152,women,women,2125
153,women,women,6785
154,women,women,1401
155,women,women,7763
156,women,women,5517
157,women,women,2996
158,women,women,7803
159,women,women,2976
160,women,women,1287
161,women,women,4685
162,women,women,7538
163,women,women,1765
164,women,women,5114
165,women,women,5583
166,women,women,3506
167,women,women,7986
168,women,women,8349
169,women,women,3206
170,women,women,2081
171,women,women,5081
172,women,women,8980
173,women,women,9350
174,women,women,9185
175,women,women,5058
176,women,women,1783
177,women,women,8635
178,women,women,7645
179,women,women,4608
180,women,women,8676
181,women,women,8133
182,women,women,2680
183,women,women,4198
184,women,women,1765
185,women,women,8775
186,women,women,7326
187,women,women,2449
188,women,women,5512
189,women,women,4437
190,women,women,7936
191,women,women,7061
192,women,women,3191
193,women,women,9010
194,women,women,6194
195,women,women,1236
196,women,women,3470
197,women,women,1687
198,women,women,7110
199,women,women,1534
200,men,men,6587
201,men,men,3854
202,men,men,1278
203,men,men,8654
204,men,men,5505
205,men,men,2117
206,men,men,4725
207,men,men,5341
208,men,men,6780
209,men,men,5621
210,men,men,1575
211,men,men,7350
212,men,men,2994
213,men,men,6138
214,men,men,4118
215,men,men,3201
216,men,men,9733
217,men,men,1238
218,men,men,4973
219,men,men,5874
220,men,men,3435
221,men,men,6741
222,men,men,3484
223,men,men,2405
224,men,men,7500
225,men,men,2599
226,men,men,9460
227,men,men,2858
228,men,men,2828
229,men,men,5427
230,men,men,5123
231,men,men,1381
232,men,men,3261
233,men,men,6567
234,men,men,2130
235,men,men,2680
236,men,men,4540
237,men,men,3097
238,men,men,5676
239,men,men,3849
240,men,men,6637
241,men,men,3038
242,men,men,8970
243,men,men,5834
244,men,men,4310
245,men,men,9449
246,men,men,1340
247,men,men,7210
248,men,men,4842
249,men,men,5026
250,men,men,4188
251,men,men,3867
252,men,men,9760
253,men,men,2079
254,men,men,2023
255,men,men,1351
256,men,men,3562
257,men,men,5771
258,men,men,5209
259,men,men,7114
260,men,men,9573
261,men,men,2423
262,men,men,8651
263,men,men,8485
264,men,men,6685
265,men,men,6576
266,men,men,4649
267,men,men,6258
268,men,men,4076
269,men,men,2358
270,men,men,6617
271,men,men,4830
272,men,men,2841
273,men,men,5392
274,men,men,7263
275,men,men,6863
276,men,men,3459
277,men,men,9843
278,men,men,7599
279,men,men,7138
280,men,men,7709
281,men,men,6246
282,men,men,5245
283,men,men,2310
284,men,men,6236
285,men,men,5733
286,men,men,2448
287,men,men,4172
288,men,men,3796
289,men,men,7674
290,men,men,5147
291,men,men,2682
292,men,men,7009
293,men,men,2429
294,men,men,8714
295,men,men,7546
296,men,men,4937
297,men,men,1476
298,men,men,3033
299,men,men,3383
300,men,men,8908
301,men,men,5810
302,men,men,5925
303,men,men,4592
304,men,men,7760
305,men,men,7614
306,men,men,4822
307,men,men,7745
308,men,men,3972
309,men,men,4303
310,men,men,2354
311,men,men,2829
312,men,men,1902
313,men,men,1830
314,men,men,7700
315,men,men,3644
316,men,men,2973
317,men,men,3123
318,men,men,8424
319,men,men,9546
320,men,men,1127
321,men,men,3349
322,men,men,5406
323,men,men,2093
324,men,men,8631
325,men,men,8357
326,men,men,4519
327,men,men,7239
328,men,men,2162
329,men,men,1265
330,men,men,5832
331,men,men,5528
332,men,men,1867
333,men,men,1311
334,men,men,8908
335,men,men,1179
336,men,men,8192
337,men,men,3782
338,men,men,6348
339,men,men,7648
340,men,men,8823
341,men,men,4344
342,men,men,6122
343,men,men,9073
344,men,men,7277
345,men,men,1640
346,men,men,2639
347,men,men,3137
348,men,men,1912
349,men,men,5091
350,men,men,9691
351,men,men,5587
352,men,men,8685
353,men,men,5873
354,men,men,3024
355,men,men,3891
356,men,men,4397
357,men,men,9751
358,men,men,4382
359,men,men,1089
360,men,men,1771
361,men,men,9260
362,men,men,1281
363,men,men,1280
364,men,men,7543
365,men,men,1232
366,men,men,7238
367,men,men,5256
368,men,men,7848
369,men,men,4828
370,men,men,5533
371,men,men,4791
372,men,men,6402
373,men,men,5828
374,men,men,8309
375,men,men,3680
376,men,men,9448
377,men,men,3268
378,men,men,1176
379,men,men,3822
380,men,men,8495
381,men,men,4679
382,men,men,8308
383,men,men,8498
384,men,men,8746
385,men,men,3071
386,men,men,3442
387,men,men,4141
388,men,men,2525
389,men,men,5586
390,men,men,5519
391,men,men,3177
392,men,men,7176
393,men,men,6874
394,men,men,3627
395,men,men,9206
396,men,men,8010
397,men,men,6912
398,men,men,1206
399,men,men,4504
400,person,person,4101
401,person,person,5827
402,person,person,9826
403,person,person,8867
404,person,person,7432
405,person,person,5390
406,person,person,2362
407,person,person,4842
408,person,person,5739
409,person,person,5859
410,person,person,7887
411,person,person,9370
412,person,person,7094
413,person,person,6380
414,person,person,3886
415,person,person,3092
416,person,person,9492
417,person,person,3334
418,person,person,4002
419,person,person,2039
420,person,person,3344
421,person,person,1180
422,person,person,6281
423,person,person,8965
424,person,person,6738
425,person,person,4698
426,person,person,3833
427,person,person,1831
428,person,person,8226
429,person,person,4908
430,person,person,1568
431,person,person,9680
432,person,person,1669
433,person,person,6037
434,person,person,1296
435,person,person,4322
436,person,person,2619
437,person,person,8812
438,person,person,8878
439,person,person,7858
440,person,person,2999
441,person,person,7056
442,person,person,1732
443,person,person,7671
444,person,person,3279
445,person,person,5728
446,person,person,9058
447,person,person,1366
448,person,person,7499
449,person,person,2336
450,person,person,4406
451,person,person,7325
452,person,person,4236
453,person,person,6795
454,person,person,3007
455,person,person,7181
456,person,person,4496
457,person,person,7038
458,person,person,7332
459,person,person,5927
460,person,person,5803
461,person,person,1383
462,person,person,9888
463,person,person,2106
464,person,person,3462
465,person,person,9086
466,person,person,2003
467,person,person,8077
468,person,person,6037
469,person,person,4255
470,person,person,1612
471,person,person,2465
472,person,person,4830
473,person,person,1678
474,person,person,1223
475,person,person,3786
476,person,person,5381
477,person,person,4276
478,person,person,1142
479,person,person,5817
480,person,person,8781
481,person,person,1050
482,person,person,3433
483,person,person,5947
484,person,person,5041
485,person,person,5409
486,person,person,5856
487,person,person,2166
488,person,person,5843
489,person,person,3469
490,person,person,6047
491,person,person,2607
492,person,person,7805
493,person,person,2126
494,person,person,8667
495,person,person,9614
496,person,person,8361
497,person,person,8729
498,person,person,8357
499,person,person,6625
500,person,person,8664
501,person,person,6222
502,person,person,2299
503,person,person,5361
504,person,person,3332
505,person,person,9819
506,person,person,9696
507,person,person,7583
508,person,person,8419
509,person,person,6781
510,person,person,9239
511,person,person,1740
512,person,person,5566
513,person,person,7485
514,person,person,2458
515,person,person,6570
516,person,person,8708
517,person,person,5403
518,person,person,8323
519,person,person,4674
520,person,person,9925
521,person,person,4438
522,person,person,7111
523,person,person,6294
524,person,person,6713
525,person,person,5907
526,person,person,3908
527,person,person,1695
528,person,person,8177
529,person,person,5154
530,person,person,3654
531,person,person,4066
532,person,person,9011
533,person,person,6474
534,person,person,8135
535,person,person,8027
536,person,person,9324
537,person,person,7149
538,person,person,5093
539,person,person,9721
540,person,person,4034
541,person,person,5344
542,person,person,5646
543,person,person,2598
544,person,person,6077
545,person,person,7522
546,person,person,4926
547,person,person,7740
548,person,person,6926
549,person,person,6890
550,person,person,1827
551,person,person,1107
552,person,person,1428
553,person,person,7655
554,person,person,9872
555,person,person,1698
556,person,person,4054
557,person,person,2817
558,person,person,8692
559,person,person,1472
560,person,person,1185
561,person,person,2239
562,person,person,2863
563,person,person,2555
564,person,person,9719
565,person,person,9146
566,person,person,5244
567,person,person,2614
568,person,person,9635
569,person,person,6017
570,person,person,9835
571,person,person,6531
572,person,person,6163
573,person,person,6774
574,person,person,3425
575,person,person,6881
576,person,person,6072
577,person,person,9168
578,person,person,8887
579,person,person,5195
580,person,person,9120
581,person,person,3588
582,person,person,3195
583,person,person,2679
584,person,person,7239
585,person,person,2807
586,person,person,7430
587,person,person,8013
588,person,person,1452
589,person,person,7384
590,person,person,6427
591,person,person,6018
592,person,person,4665
593,person,person,9962
594,person,person,9904
595,person,person,3556
596,person,person,1679
597,person,person,5525
598,person,person,3736
599,person,person,6233
600,hat,hat,7218
601,hat,hat,2000
602,hat,hat,7167
603,hat,hat,1323
604,hat,hat,6339
605,hat,hat,7200
606,hat,hat,3111
607,hat,hat,2224
608,hat,hat,9047
609,hat,hat,8694
610,hat,hat,2448
611,hat,hat,1558
612,hat,hat,7912
613,hat,hat,7784
614,hat,hat,9526
615,hat,hat,8845
616,hat,hat,2705
617,hat,hat,7250
618,hat,hat,1488
619,hat,hat,9270
620,hat,hat,8548
621,hat,hat,7904
622,hat,hat,3515
623,hat,hat,5580
624,hat,hat,8755
625,hat,hat,6995
626,hat,hat,5053
627,hat,hat,1674
628,hat,hat,8936
629,hat,hat,1952
630,hat,hat,1253
631,hat,hat,4339
632,hat,hat,4434
633,hat,hat,9514
634,hat,hat,4128
635,hat,hat,6179
636,hat,hat,8671
637,hat,hat,7752
638,hat,hat,8498
639,hat,hat,7143
640,hat,hat,2448
641,hat,hat,8521
642,hat,hat,7776
643,hat,hat,8237
644,hat,hat,2072
645,hat,hat,4027
646,hat,hat,5187
647,hat,hat,7168
648,hat,hat,7019
649,hat,hat,3190
650,hat,hat,6142
651,hat,hat,4739
652,hat,hat,4584
653,hat,hat,7762
654,hat,hat,1605
655,hat,hat,7244
656,hat,hat,3455
657,hat,hat,8825
658,hat,hat,7356
659,hat,hat,8399
660,hat,hat,9759
661,hat,hat,3270
662,hat,hat,7015
663,hat,hat,8784
664,hat,hat,1119
665,hat,hat,4832
666,hat,hat,4778
667,hat,hat,5065
668,hat,hat,3290
669,hat,hat,5498
670,hat,hat,9855
671,hat,hat,5915
672,hat,hat,9810
673,hat,hat,3829
674,hat,hat,8411
675,hat,hat,9085
676,hat,hat,2101
677,hat,hat,2660
678,hat,hat,6100
679,hat,hat,3992
680,hat,hat,1992
681,hat,hat,8926
682,hat,hat,9349
683,hat,hat,7223
684,hat,hat,8778
685,hat,hat,3991
686,hat,hat,7119
687,hat,hat,6397
688,hat,hat,2383
689,hat,hat,9553
