erased_artist,prompt_artist,prompt,num,lpips_score
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,0,0.318149209022522
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,1,0.40435418486595154
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,2,0.40062829852104187
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,3,0.3196316957473755
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,4,0.3416396677494049
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,0,0.753037691116333
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,1,0.7099177241325378
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,2,0.6418412327766418
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,3,0.6349982619285583
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,4,0.5411367416381836
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,0,0.29622453451156616
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,1,0.44105827808380127
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,2,0.28050073981285095
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,3,0.33506324887275696
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,4,0.3009771406650543
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,0,0.4513971209526062
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,1,0.5035903453826904
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,2,0.6190764307975769
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,3,0.6889167428016663
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,4,0.4372938573360443
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,0,0.36672312021255493
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,1,0.6514214277267456
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,2,0.4598894417285919
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,3,0.2999238967895508
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,4,0.4171183407306671
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,0,0.41571494936943054
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,1,0.454744815826416
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,2,0.4580809473991394
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,3,0.43516963720321655
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,4,0.3512551784515381
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,0,0.4820880889892578
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,1,0.5014635324478149
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,2,0.5235968828201294
