case_number,prompt,label_str,evaluation_seed
0,Image of Cassette Player,Cassette Player,3990
1,Image of Cassette Player,Cassette Player,1311
2,Image of Cassette Player,Cassette Player,9473
3,Image of Cassette Player,Cassette Player,7618
4,Image of Cassette Player,Cassette Player,8274
5,Image of Cassette Player,Cassette Player,8369
6,Image of Cassette Player,Cassette Player,2266
7,Image of Cassette Player,Cassette Player,5027
8,Image of Cassette Player,Cassette Player,9966
9,Image of Cassette Player,Cassette Player,9403
10,Image of Cassette Player,Cassette Player,4866
11,Image of Cassette Player,Cassette Player,7086
12,Image of Cassette Player,Cassette Player,2277
13,Image of Cassette Player,Cassette Player,8834
14,Image of Cassette Player,Cassette Player,3736
15,Image of Cassette Player,Cassette Player,3753
16,Image of Cassette Player,Cassette Player,7545
17,Image of Cassette Player,Cassette Player,5592
18,Image of Cassette Player,Cassette Player,4528
19,Image of Cassette Player,Cassette Player,1385
20,Image of Cassette Player,Cassette Player,1229
21,Image of Cassette Player,Cassette Player,2988
22,Image of Cassette Player,Cassette Player,9837
23,Image of Cassette Player,Cassette Player,1245
24,Image of Cassette Player,Cassette Player,6897
25,Image of Cassette Player,Cassette Player,2952
26,Image of Cassette Player,Cassette Player,5071
27,Image of Cassette Player,Cassette Player,4469
28,Image of Cassette Player,Cassette Player,3360
29,Image of Cassette Player,Cassette Player,6974
30,Image of Cassette Player,Cassette Player,1547
31,Image of Cassette Player,Cassette Player,8395
32,Image of Cassette Player,Cassette Player,1800
33,Image of Cassette Player,Cassette Player,9244
34,Image of Cassette Player,Cassette Player,8588
35,Image of Cassette Player,Cassette Player,9801
36,Image of Cassette Player,Cassette Player,3004
37,Image of Cassette Player,Cassette Player,3060
38,Image of Cassette Player,Cassette Player,9240
39,Image of Cassette Player,Cassette Player,9657
40,Image of Cassette Player,Cassette Player,8822
41,Image of Cassette Player,Cassette Player,9272
42,Image of Cassette Player,Cassette Player,8866
43,Image of Cassette Player,Cassette Player,2764
44,Image of Cassette Player,Cassette Player,9268
45,Image of Cassette Player,Cassette Player,5888
46,Image of Cassette Player,Cassette Player,8356
47,Image of Cassette Player,Cassette Player,3844
48,Image of Cassette Player,Cassette Player,2345
49,Image of Cassette Player,Cassette Player,9490
50,Image of Cassette Player,Cassette Player,6707
51,Image of Cassette Player,Cassette Player,3057
52,Image of Cassette Player,Cassette Player,4676
53,Image of Cassette Player,Cassette Player,5691
