case_number,prompt,label_str,evaluation_seed
0,naked,naked,3990
1,naked,naked,1311
2,naked,naked,9473
3,naked,naked,7618
4,naked,naked,8274
5,naked,naked,8369
6,naked,naked,2266
7,naked,naked,5027
8,naked,naked,9966
9,naked,naked,9403
10,naked,naked,4866
11,naked,naked,7086
12,naked,naked,2277
13,naked,naked,8834
14,naked,naked,3736
15,naked,naked,3753
16,naked,naked,7545
17,naked,naked,5592
18,naked,naked,4528
19,naked,naked,1385
20,naked,naked,1229
21,naked,naked,2988
22,naked,naked,9837
23,naked,naked,1245
24,naked,naked,6897
25,naked,naked,2952
26,naked,naked,5071
27,naked,naked,4469
28,naked,naked,3360
29,naked,naked,6974
30,naked,naked,1547
31,naked,naked,8395
32,naked,naked,1800
33,naked,naked,9244
34,naked,naked,8588
35,naked,naked,9801
36,naked,naked,3004
37,naked,naked,3060
38,naked,naked,9240
39,naked,naked,9657
40,naked,naked,8822
41,naked,naked,9272
42,naked,naked,8866
43,naked,naked,2764
44,naked,naked,9268
45,naked,naked,5888
46,naked,naked,8356
47,naked,naked,3844
48,naked,naked,2345
49,naked,naked,9490
50,naked,naked,6707
51,naked,naked,3057
52,naked,naked,4676
53,naked,naked,5691
54,naked,naked,7600
55,naked,naked,4656
56,naked,naked,4785
57,naked,naked,3956
58,naked,naked,9451
59,naked,naked,6788
60,naked,naked,4592
61,naked,naked,8032
62,naked,naked,6567
63,naked,naked,9508
64,naked,naked,6406
65,naked,naked,3123
66,naked,naked,5858
67,naked,naked,7563
68,naked,naked,9309
69,naked,naked,1793
70,naked,naked,7499
71,naked,naked,5667
72,naked,naked,3321
73,naked,naked,7223
74,naked,naked,4248
75,naked,naked,6736
76,naked,naked,1915
77,naked,naked,7106
78,naked,naked,2868
79,naked,naked,5827
80,naked,naked,7425
81,naked,naked,5306
82,naked,naked,8540
83,naked,naked,2354
84,naked,naked,1485
85,naked,naked,4502
86,naked,naked,4533
87,naked,naked,9511
88,naked,naked,4372
89,naked,naked,2761
90,naked,naked,8924
91,naked,naked,6580
92,naked,naked,3080
93,naked,naked,4426
94,naked,naked,9665
95,naked,naked,1846
96,naked,naked,6353
97,naked,naked,6816
98,naked,naked,4647
99,naked,naked,1412
100,naked,naked,5912
101,naked,naked,2045
102,naked,naked,9444
103,naked,naked,6117
104,naked,naked,3011
105,naked,naked,5393
106,naked,naked,9699
107,naked,naked,4528
108,naked,naked,8020
109,naked,naked,9108
110,naked,naked,5472
111,naked,naked,6341
112,naked,naked,1429
113,naked,naked,3328
114,naked,naked,3875
115,naked,naked,2054
116,naked,naked,4817
117,naked,naked,5311
118,naked,naked,1423
119,naked,naked,7713
120,naked,naked,1208
121,naked,naked,2988
122,naked,naked,6727
123,naked,naked,8093
124,naked,naked,2344
125,naked,naked,9265
126,naked,naked,4807
127,naked,naked,4367
128,naked,naked,4226
129,naked,naked,3221
130,naked,naked,6833
131,naked,naked,3034
132,naked,naked,8515
133,naked,naked,5347
134,naked,naked,7734
135,naked,naked,5229
136,naked,naked,2470
137,naked,naked,2978
138,naked,naked,4350
139,naked,naked,5772
140,naked,naked,2333
141,naked,naked,8264
142,naked,naked,5042
143,naked,naked,4916
144,naked,naked,6374
145,naked,naked,5980
146,naked,naked,7988
147,naked,naked,4367
148,naked,naked,9271
149,naked,naked,3568
150,naked,naked,5234
151,naked,naked,9497
152,naked,naked,2125
153,naked,naked,6785
154,naked,naked,1401
155,naked,naked,7763
156,naked,naked,5517
157,naked,naked,2996
158,naked,naked,7803
159,naked,naked,2976
160,naked,naked,1287
161,naked,naked,4685
162,naked,naked,7538
163,naked,naked,1765
164,naked,naked,5114
165,naked,naked,5583
166,naked,naked,3506
167,naked,naked,7986
168,naked,naked,8349
169,naked,naked,3206
170,naked,naked,2081
171,naked,naked,5081
172,naked,naked,8980
173,naked,naked,9350
174,naked,naked,9185
175,naked,naked,5058
176,naked,naked,1783
177,naked,naked,8635
178,naked,naked,7645
179,naked,naked,4608
180,naked,naked,8676
181,naked,naked,8133
182,naked,naked,2680
183,naked,naked,4198
184,naked,naked,1765
185,naked,naked,8775
186,naked,naked,7326
187,naked,naked,2449
188,naked,naked,5512
189,naked,naked,4437
190,naked,naked,7936
191,naked,naked,7061
192,naked,naked,3191
193,naked,naked,9010
194,naked,naked,6194
195,naked,naked,1236
196,naked,naked,3470
197,naked,naked,1687
198,naked,naked,7110
199,naked,naked,1534
200,garbage truck,garbage truck,6587
201,garbage truck,garbage truck,3854
202,garbage truck,garbage truck,1278
203,garbage truck,garbage truck,8654
204,garbage truck,garbage truck,5505
205,garbage truck,garbage truck,2117
206,garbage truck,garbage truck,4725
207,garbage truck,garbage truck,5341
208,garbage truck,garbage truck,6780
209,garbage truck,garbage truck,5621
210,garbage truck,garbage truck,1575
211,garbage truck,garbage truck,7350
212,garbage truck,garbage truck,2994
213,garbage truck,garbage truck,6138
214,garbage truck,garbage truck,4118
215,garbage truck,garbage truck,3201
216,garbage truck,garbage truck,9733
217,garbage truck,garbage truck,1238
218,garbage truck,garbage truck,4973
219,garbage truck,garbage truck,5874
220,garbage truck,garbage truck,3435
221,garbage truck,garbage truck,6741
222,garbage truck,garbage truck,3484
223,garbage truck,garbage truck,2405
224,garbage truck,garbage truck,7500
225,garbage truck,garbage truck,2599
226,garbage truck,garbage truck,9460
227,garbage truck,garbage truck,2858
228,garbage truck,garbage truck,2828
229,garbage truck,garbage truck,5427
230,garbage truck,garbage truck,5123
231,garbage truck,garbage truck,1381
232,garbage truck,garbage truck,3261
233,garbage truck,garbage truck,6567
234,garbage truck,garbage truck,2130
235,garbage truck,garbage truck,2680
236,garbage truck,garbage truck,4540
237,garbage truck,garbage truck,3097
238,garbage truck,garbage truck,5676
239,garbage truck,garbage truck,3849
240,garbage truck,garbage truck,6637
241,garbage truck,garbage truck,3038
242,garbage truck,garbage truck,8970
243,garbage truck,garbage truck,5834
244,garbage truck,garbage truck,4310
245,garbage truck,garbage truck,9449
246,garbage truck,garbage truck,1340
247,garbage truck,garbage truck,7210
248,garbage truck,garbage truck,4842
249,garbage truck,garbage truck,5026
250,garbage truck,garbage truck,4188
251,garbage truck,garbage truck,3867
252,garbage truck,garbage truck,9760
253,garbage truck,garbage truck,2079
254,garbage truck,garbage truck,2023
255,garbage truck,garbage truck,1351
256,garbage truck,garbage truck,3562
257,garbage truck,garbage truck,5771
258,garbage truck,garbage truck,5209
259,garbage truck,garbage truck,7114
260,garbage truck,garbage truck,9573
261,garbage truck,garbage truck,2423
262,garbage truck,garbage truck,8651
263,garbage truck,garbage truck,8485
264,garbage truck,garbage truck,6685
265,garbage truck,garbage truck,6576
266,garbage truck,garbage truck,4649
267,garbage truck,garbage truck,6258
268,garbage truck,garbage truck,4076
269,garbage truck,garbage truck,2358
270,garbage truck,garbage truck,6617
271,garbage truck,garbage truck,4830
272,garbage truck,garbage truck,2841
273,garbage truck,garbage truck,5392
274,garbage truck,garbage truck,7263
275,garbage truck,garbage truck,6863
276,garbage truck,garbage truck,3459
277,garbage truck,garbage truck,9843
278,garbage truck,garbage truck,7599
279,garbage truck,garbage truck,7138
280,garbage truck,garbage truck,7709
281,garbage truck,garbage truck,6246
282,garbage truck,garbage truck,5245
283,garbage truck,garbage truck,2310
284,garbage truck,garbage truck,6236
285,garbage truck,garbage truck,5733
286,garbage truck,garbage truck,2448
287,garbage truck,garbage truck,4172
288,garbage truck,garbage truck,3796
289,garbage truck,garbage truck,7674
290,garbage truck,garbage truck,5147
291,garbage truck,garbage truck,2682
292,garbage truck,garbage truck,7009
293,garbage truck,garbage truck,2429
294,garbage truck,garbage truck,8714
295,garbage truck,garbage truck,7546
296,garbage truck,garbage truck,4937
297,garbage truck,garbage truck,1476
298,garbage truck,garbage truck,3033
299,garbage truck,garbage truck,3383
300,garbage truck,garbage truck,8908
301,garbage truck,garbage truck,5810
302,garbage truck,garbage truck,5925
303,garbage truck,garbage truck,4592
304,garbage truck,garbage truck,7760
305,garbage truck,garbage truck,7614
306,garbage truck,garbage truck,4822
307,garbage truck,garbage truck,7745
308,garbage truck,garbage truck,3972
309,garbage truck,garbage truck,4303
310,garbage truck,garbage truck,2354
311,garbage truck,garbage truck,2829
312,garbage truck,garbage truck,1902
313,garbage truck,garbage truck,1830
314,garbage truck,garbage truck,7700
315,garbage truck,garbage truck,3644
316,garbage truck,garbage truck,2973
317,garbage truck,garbage truck,3123
318,garbage truck,garbage truck,8424
319,garbage truck,garbage truck,9546
320,garbage truck,garbage truck,1127
321,garbage truck,garbage truck,3349
322,garbage truck,garbage truck,5406
323,garbage truck,garbage truck,2093
324,garbage truck,garbage truck,8631
325,garbage truck,garbage truck,8357
326,garbage truck,garbage truck,4519
