,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,tape player,848,0.2336568,CD player,485,0.096746005,cassette player,482,0.07215289,radio,754,0.02067213,cassette,481,0.017586906,loudspeaker,632,0.007676485,Polaroid camera,732,0.0052035167,printer,742,0.0047006123,cash machine,480,0.0044915657,desktop computer,527,0.004035786
1,1,Image of Cassette Player,Cassette Player,1311,tape player,848,0.2149226,cassette player,482,0.119280174,CD player,485,0.07522035,radio,754,0.05621116,cassette,481,0.032323617,cash machine,480,0.02287694,desktop computer,527,0.008654478,printer,742,0.0037289702,photocopier,713,0.003712729,loudspeaker,632,0.0036533945
2,2,Image of Cassette Player,Cassette Player,9473,radio,754,0.16231804,tape player,848,0.14004445,cassette player,482,0.12260666,CD player,485,0.089231685,loudspeaker,632,0.024826998,cassette,481,0.013061932,home theater,598,0.004470655,Polaroid camera,732,0.002675205,digital clock,530,0.0024565372,entertainment center,548,0.002430183
3,3,Image of Cassette Player,Cassette Player,7618,cassette player,482,0.19080436,tape player,848,0.185782,CD player,485,0.07574713,radio,754,0.046193425,cassette,481,0.01724267,switch,844,0.0059889397,Polaroid camera,732,0.0048320014,reflex camera,759,0.0038030678,digital clock,530,0.0036827174,iPod,605,0.0035338674
4,4,Image of Cassette Player,Cassette Player,8274,cassette player,482,0.22451578,tape player,848,0.21930179,cassette,481,0.07050235,CD player,485,0.019368604,radio,754,0.008464236,safe,771,0.0048203277,television,851,0.0032567931,monitor,664,0.0026333123,cash machine,480,0.0024948004,gibbon,368,0.0019846966
5,5,Image of Cassette Player,Cassette Player,8369,tape player,848,0.13497105,loudspeaker,632,0.109463796,cassette,481,0.09477301,cassette player,482,0.07177404,CD player,485,0.023120672,radio,754,0.012275856,safe,771,0.010581958,switch,844,0.010196746,projector,745,0.0055138785,hard disc,592,0.0037379782
6,6,Image of Cassette Player,Cassette Player,2266,radio,754,0.1455221,cassette,481,0.11951056,CD player,485,0.07160755,tape player,848,0.06563153,cassette player,482,0.05609491,projector,745,0.033064324,digital clock,530,0.019811058,Polaroid camera,732,0.011303566,iPod,605,0.008386232,loudspeaker,632,0.008280043
7,7,Image of Cassette Player,Cassette Player,5027,tape player,848,0.14910111,radio,754,0.08343989,CD player,485,0.07558617,cassette player,482,0.06702723,modem,662,0.021446092,Polaroid camera,732,0.019755974,hard disc,592,0.019688582,digital clock,530,0.01790333,projector,745,0.017792568,desktop computer,527,0.009002697
8,8,Image of Cassette Player,Cassette Player,9966,tape player,848,0.1852699,radio,754,0.17992252,CD player,485,0.149684,cassette player,482,0.07901502,entertainment center,548,0.02717735,home theater,598,0.026551954,loudspeaker,632,0.02422991,cassette,481,0.006763168,television,851,0.0055255676,analog clock,409,0.004369357
9,9,Image of Cassette Player,Cassette Player,9403,CD player,485,0.25757957,radio,754,0.10924776,tape player,848,0.047660265,cassette player,482,0.026462786,loudspeaker,632,0.014719634,cassette,481,0.014663289,home theater,598,0.010466928,television,851,0.0044614417,remote control,761,0.0037586594,analog clock,409,0.003695122
10,10,Image of Cassette Player,Cassette Player,4866,tape player,848,0.2807316,CD player,485,0.12232967,cassette player,482,0.09257051,radio,754,0.041040067,cassette,481,0.023160953,loudspeaker,632,0.00449364,home theater,598,0.004446097,desktop computer,527,0.0032052756,entertainment center,548,0.0019687081,television,851,0.0018218767
11,11,Image of Cassette Player,Cassette Player,7086,tape player,848,0.09797255,CD player,485,0.0977098,cassette player,482,0.080189675,radio,754,0.07789064,loudspeaker,632,0.056136537,cassette,481,0.009191659,carton,478,0.0073039993,digital clock,530,0.006268886,projector,745,0.0061033685,safe,771,0.004816043
12,12,Image of Cassette Player,Cassette Player,2277,tape player,848,0.14879337,cassette player,482,0.044150583,joystick,613,0.037606742,modem,662,0.031215848,switch,844,0.030937633,CD player,485,0.028906943,cassette,481,0.025443956,Polaroid camera,732,0.017944664,iPod,605,0.017800169,hard disc,592,0.017781438
13,13,Image of Cassette Player,Cassette Player,8834,CD player,485,0.14910808,cassette,481,0.14863028,radio,754,0.10528925,tape player,848,0.08866705,cassette player,482,0.0841191,loudspeaker,632,0.006197428,modem,662,0.003711687,letter opener,623,0.0029269434,digital clock,530,0.0022831392,pencil box,709,0.002232938
14,14,Image of Cassette Player,Cassette Player,3736,tape player,848,0.17112799,cassette player,482,0.06976564,CD player,485,0.04543858,radio,754,0.036830284,bulletproof vest,465,0.018974645,cassette,481,0.016809095,chain mail,490,0.015952982,loudspeaker,632,0.013178244,desktop computer,527,0.006616689,buckle,464,0.004896578
15,15,Image of Cassette Player,Cassette Player,3753,cash machine,480,0.282482,CD player,485,0.13108562,tape player,848,0.08277127,mailbox,637,0.043969885,cassette player,482,0.030688785,desktop computer,527,0.020900909,radio,754,0.0162065,printer,742,0.0065159462,television,851,0.0063170013,home theater,598,0.0043087653
16,16,Image of Cassette Player,Cassette Player,7545,CD player,485,0.23118465,tape player,848,0.12336216,radio,754,0.107867725,cassette player,482,0.07005882,cassette,481,0.015148943,modem,662,0.009515644,digital clock,530,0.0045800665,loudspeaker,632,0.0045060753,printer,742,0.0029403507,desktop computer,527,0.0028376733
17,17,Image of Cassette Player,Cassette Player,5592,CD player,485,0.17664003,radio,754,0.16662896,tape player,848,0.09398922,cassette player,482,0.06458377,cassette,481,0.017609578,home theater,598,0.005177641,loudspeaker,632,0.0042798165,desktop computer,527,0.002874178,Polaroid camera,732,0.0027031568,analog clock,409,0.002575383
18,18,Image of Cassette Player,Cassette Player,4528,CD player,485,0.2530901,tape player,848,0.062781274,cassette player,482,0.028887112,radio,754,0.026443375,printer,742,0.019934017,desktop computer,527,0.01559412,television,851,0.014817779,mailbox,637,0.011630221,microwave,651,0.010964881,home theater,598,0.009105048
19,19,Image of Cassette Player,Cassette Player,1385,desktop computer,527,0.26263767,tape player,848,0.052132603,CD player,485,0.028044328,remote control,761,0.022657556,cassette player,482,0.020627825,hand-held computer,590,0.018155739,loudspeaker,632,0.018041117,radio,754,0.017111825,hard disc,592,0.016624099,switch,844,0.015629977
20,20,Image of Cassette Player,Cassette Player,1229,CD player,485,0.13235943,tape player,848,0.08837032,cassette player,482,0.08496173,cassette,481,0.061763804,radio,754,0.03558837,modem,662,0.018860312,passenger car,705,0.00583226,digital clock,530,0.0054777386,hard disc,592,0.0047145197,loudspeaker,632,0.0043023783
