erased_artist,prompt_artist,prompt,num,lpips_score
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,0,0.3186815083026886
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,1,0.31784582138061523
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,2,0.3685007691383362
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,3,0.4562835097312927
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,4,0.32842302322387695
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,0,0.7500786781311035
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,1,0.662239670753479
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,2,0.3612516224384308
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,3,0.5865933299064636
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,4,0.5337091088294983
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,0,0.3230326771736145
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,1,0.4612208306789398
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,2,0.246666818857193
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,3,0.26493310928344727
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,4,0.3049725294113159
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,0,0.47078219056129456
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,1,0.40232229232788086
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,2,0.43828803300857544
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,3,0.6411792039871216
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,4,0.41406354308128357
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,0,0.3812587559223175
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,1,0.6858996748924255
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,2,0.4837352931499481
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,3,0.314504474401474
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,4,0.3728744387626648
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,0,0.31778189539909363
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,1,0.4267842769622803
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,2,0.49580642580986023
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,3,0.4417659044265747
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,4,0.37902700901031494
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,0,0.3353685736656189
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,1,0.4543849527835846
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,2,0.33265411853790283
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,3,0.35283759236335754
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,4,0.3410716652870178
