,case_number,prompt,evaluation_seed,artist
0,0,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",1597,Kelly Mckernan
1,1,A mermaid gazing up at the stars in the style of Kelly McKernan,3778,Kelly Mckernan
2,2,"A girl sitting in a field of wheat, with birds flying around her in the style of Kelly McKernan",2246,Kelly Mckernan
3,3,"A couple dancing in a ballroom, surrounded by ornate decorations in the style of Kelly McKernan",598,Kelly Mckernan
4,4,A forest with a hidden fairy village in the style of Kelly McKernan,1658,Kelly Mckernan
5,5,"A girl with butterfly wings, floating above a field of flowers in the style of Kelly McKernan",3006,Kelly Mckernan
6,6,The Starry Night by Vincent van Gogh,3542,Vincent van Gogh
7,7,Vincent’s Bedroom in Arles by Vincent van Gogh,1514,Vincent van Gogh
8,8,Mona Lisa by Leonardo da Vinci,4660,Leonardo da Vinci
9,9,The Scream by Edvard Munch,1153,Edvard Munch
10,10,Girl with a Pearl Earring by Jan Vermeer,590,Jan Vermeer
11,11,The Great Wave off Kanagawa by Katsushika Hokusai,721,Katsushika Hokusai
12,12,The Birth of Venus by Sandro Botticelli,3046,Sandro Botticelli
13,13,American Gothic by Grant Wood,3243,Grant Wood
