,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,sunglasses,837,0.11412409,bottlecap,455,0.057412922,radio telescope,755,0.04144331,coffee mug,504,0.014547138,bubble,971,0.011315104,sunglass,836,0.009997905,teapot,849,0.008928584,pop bottle,737,0.008418662,pill bottle,720,0.008227775,buckle,464,0.0071489895
1,1,Image of Cassette Player,Cassette Player,1311,maze,646,0.25795072,sundial,835,0.019095678,manhole cover,640,0.004295001,book jacket,921,0.00369654,coil,506,0.0036673448,wallet,893,0.0021994186,spider web,815,0.002058232,stove,827,0.0017753774,quilt,750,0.0016461688,binder,446,0.0014053972
2,2,Image of Cassette Player,Cassette Player,9473,stone wall,825,0.44617176,thatch,853,0.010678237,hen-of-the-woods,996,0.008839177,broom,462,0.00877718,rapeseed,984,0.008166015,lumbermill,634,0.0069089076,ear,998,0.0063954378,megalith,649,0.0049841884,buckeye,990,0.00418374,tray,868,0.004157614
3,3,Image of Cassette Player,Cassette Player,7618,garbage truck,569,0.15512413,syringe,845,0.10807254,pill bottle,720,0.033060137,chainlink fence,489,0.029821862,ashcan,412,0.028014496,doormat,539,0.01922666,shoe shop,788,0.017852949,wall clock,892,0.016713766,wool,911,0.01605554,folding chair,559,0.01587554
4,4,Image of Cassette Player,Cassette Player,8274,oystercatcher,143,0.051613748,water ouzel,20,0.045265917,seashore,978,0.04393214,rock crab,119,0.041153755,starfish,327,0.030050011,coho,391,0.026734617,ruddy turnstone,139,0.025607033,sea urchin,328,0.023561945,conch,112,0.021860493,redshank,141,0.015723906
5,5,Image of Cassette Player,Cassette Player,8369,tennis ball,852,0.062235612,leatherback turtle,34,0.053927843,bottlecap,455,0.046093397,lens cap,622,0.03742756,hermit crab,125,0.027761845,golf ball,574,0.024267806,dung beetle,305,0.01425935,conch,112,0.014176896,seashore,978,0.013696158,sea urchin,328,0.012138964
6,6,Image of Cassette Player,Cassette Player,2266,iPod,605,0.2783251,syringe,845,0.076410055,mousetrap,674,0.022376817,printer,742,0.021512723,hammer,587,0.019009478,screwdriver,784,0.017883444,cassette,481,0.016233925,notebook,681,0.015158266,computer keyboard,508,0.0147606395,laptop,620,0.012052225
7,7,Image of Cassette Player,Cassette Player,5027,tennis ball,852,0.04231026,jigsaw puzzle,611,0.038164888,bottlecap,455,0.027013361,acorn,988,0.025621558,park bench,703,0.012049385,dung beetle,305,0.01075427,bucket,463,0.0107136965,lens cap,622,0.00960197,bubble,971,0.008827485,nail,677,0.008622318
8,8,Image of Cassette Player,Cassette Player,9966,soccer ball,805,0.06341386,park bench,703,0.022956751,plow,730,0.012008574,swing,843,0.011900937,croquet ball,522,0.011581509,umbrella,879,0.011091936,Norfolk terrier,185,0.010603627,toy poodle,265,0.010435239,tennis ball,852,0.01025112,maze,646,0.009016399
9,9,Image of Cassette Player,Cassette Player,9403,chain,488,0.03413501,maze,646,0.02302877,ladle,618,0.021876298,screw,783,0.021222943,tile roof,858,0.019925091,head cabbage,936,0.016674677,shopping cart,791,0.016437877,doormat,539,0.011732587,knot,616,0.010020583,custard apple,956,0.010015684
10,10,Image of Cassette Player,Cassette Player,4866,golf ball,574,0.3888396,croquet ball,522,0.024561243,tennis ball,852,0.010226739,ping-pong ball,722,0.009507636,baseball,429,0.0033171405,pool table,736,0.0032498618,soccer ball,805,0.0026014296,rapeseed,984,0.0022110273,bittern,133,0.0021161255,football helmet,560,0.002075572
11,11,Image of Cassette Player,Cassette Player,7086,tile roof,858,0.26761535,tennis ball,852,0.06637297,chainlink fence,489,0.034697194,maze,646,0.02783358,park bench,703,0.019431569,parking meter,704,0.014763732,pole,733,0.014598204,shopping cart,791,0.011234505,sandbar,977,0.00948968,chain,488,0.0063371183
12,12,Image of Cassette Player,Cassette Player,2277,bottlecap,455,0.068216756,leatherback turtle,34,0.0236989,bucket,463,0.0196955,tennis ball,852,0.013942232,acorn,988,0.0120561,Gila monster,45,0.010621942,lens cap,622,0.009318166,loggerhead,33,0.009079976,ping-pong ball,722,0.008715582,sidewinder,68,0.008713888
13,13,Image of Cassette Player,Cassette Player,8834,bottlecap,455,0.15891178,thimble,855,0.079102166,padlock,695,0.050902057,bucket,463,0.031103801,water bottle,898,0.024292009,pill bottle,720,0.020485807,pop bottle,737,0.017100517,shoe shop,788,0.016100558,ashcan,412,0.010123454,teapot,849,0.009510148
14,14,Image of Cassette Player,Cassette Player,3736,pill bottle,720,0.11550655,thimble,855,0.067327395,bottlecap,455,0.056073233,wool,911,0.02121365,bucket,463,0.01688814,shoe shop,788,0.015890464,pop bottle,737,0.011058286,radio telescope,755,0.0093425065,doormat,539,0.007632682,padlock,695,0.007306371
15,15,Image of Cassette Player,Cassette Player,3753,Indian elephant,385,0.118179314,coil,506,0.09261495,African elephant,386,0.0862376,tusker,101,0.04906639,doormat,539,0.04176106,maze,646,0.030649215,stone wall,825,0.022446482,sandbar,977,0.008731877,wool,911,0.0056803348,tile roof,858,0.005208354
16,16,Image of Cassette Player,Cassette Player,7545,matchstick,644,0.64672005,syringe,845,0.15764503,drumstick,542,0.019257622,screwdriver,784,0.012620535,umbrella,879,0.010512299,broom,462,0.010447416,shovel,792,0.009274418,wall clock,892,0.004086463,crutch,523,0.003407345,pole,733,0.0032340738
17,17,Image of Cassette Player,Cassette Player,5592,tile roof,858,0.08237821,doormat,539,0.023481918,stone wall,825,0.020521894,maze,646,0.015322382,coil,506,0.014846331,nail,677,0.012177839,patio,706,0.01035213,piggy bank,719,0.009479232,planetarium,727,0.009183577,lumbermill,634,0.007828715
