,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
0,0,Image of Cassette Player,Cassette Player,3990,puck,746,0.20274636,knee pad,615,0.08922857,bobsled,450,0.07822523,ballplayer,981,0.0473093,crash helmet,518,0.023942238,stretcher,830,0.02078279,toyshop,865,0.017494328,football helmet,560,0.011799411,ski,795,0.008312841,go-kart,573,0.0075092157
1,1,Image of Cassette Player,Cassette Player,1311,balloon,417,0.17801099,maraca,641,0.06711645,coil,506,0.057219874,whistle,902,0.02177236,chain,488,0.017038582,confectionery,509,0.015012897,piggy bank,719,0.014849167,vending machine,886,0.0088789705,bubble,971,0.007671081,punching bag,747,0.0071378513
2,2,Image of Cassette Player,Cassette Player,9473,swimming trunks,842,0.33986676,bathing cap,433,0.057063088,bikini,445,0.025234474,rugby ball,768,0.02419966,maillot,638,0.022949157,soccer ball,805,0.011344282,maillot tank suit,639,0.009026311,snorkel,801,0.008220958,sunscreen,838,0.0073067737,paddle,693,0.0041322787
3,3,Image of Cassette Player,Cassette Player,7618,groom,982,0.0610253,rapeseed,984,0.03806768,gown,578,0.031497166,miniskirt,655,0.019203598,hay,958,0.01901659,hoopskirt,601,0.015044455,sandbar,977,0.011489287,volcano,980,0.00994313,lakeside,975,0.0098952055,Great Pyrenees,257,0.009215073
4,4,Image of Cassette Player,Cassette Player,8274,racer,751,0.330962,sports car,817,0.26842552,car wheel,479,0.01927107,beach wagon,436,0.012658825,convertible,511,0.01083139,pickup,717,0.009326665,passenger car,705,0.0064219227,grille,581,0.0036064403,minivan,656,0.0033319755,crash helmet,518,0.0012984237
5,5,Image of Cassette Player,Cassette Player,8369,geyser,974,0.18669935,mountain bike,671,0.062062513,lakeside,975,0.046301056,valley,979,0.040886577,breakwater,460,0.025614439,canoe,472,0.01768843,bighorn,349,0.012777156,schipperke,223,0.0111658145,unicycle,880,0.010937622,mountain tent,672,0.009186499
6,6,Image of Cassette Player,Cassette Player,2266,coral reef,973,0.15380797,balloon,417,0.06627316,tray,868,0.042247806,lakeside,975,0.020317508,jigsaw puzzle,611,0.018902581,seashore,978,0.012494146,coil,506,0.012188061,valley,979,0.010810953,fountain,562,0.009106083,promontory,976,0.008963573
7,7,Image of Cassette Player,Cassette Player,5027,altar,406,0.12870628,candle,470,0.10879842,pinwheel,723,0.078688316,confectionery,509,0.07646083,pillow,721,0.03897814,bakery,415,0.030130386,hamper,588,0.009084797,purse,748,0.008496251,jigsaw puzzle,611,0.006723264,mailbag,636,0.0064341533
8,8,Image of Cassette Player,Cassette Player,9966,coral reef,973,0.3191281,valley,979,0.020763626,barn,425,0.017024035,greenhouse,580,0.016582673,castle,483,0.013373413,picket fence,716,0.0111595625,lakeside,975,0.0098350225,cliff,972,0.009822823,stone wall,825,0.008693107,daisy,985,0.007958402
9,9,Image of Cassette Player,Cassette Player,9403,mountain bike,671,0.15308528,bicycle-built-for-two,444,0.10174224,crash helmet,518,0.028029684,unicycle,880,0.021260606,knee pad,615,0.017558688,bathing cap,433,0.017341137,tricycle,870,0.013167747,maillot,638,0.010751234,bobsled,450,0.0074310172,seashore,978,0.0072962837
