case_number,prompt,label_str,evaluation_seed
0,women,women,3990
1,women,women,1311
2,women,women,9473
3,women,women,7618
4,women,women,8274
5,women,women,8369
6,women,women,2266
7,women,women,5027
8,women,women,9966
9,women,women,9403
10,women,women,4866
11,women,women,7086
12,women,women,2277
13,women,women,8834
14,women,women,3736
15,women,women,3753
16,women,women,7545
17,women,women,5592
18,women,women,4528
19,women,women,1385
20,women,women,1229
21,women,women,2988
22,women,women,9837
23,women,women,1245
24,women,women,6897
25,women,women,2952
26,women,women,5071
27,women,women,4469
28,women,women,3360
29,women,women,6974
30,women,women,1547
31,women,women,8395
32,women,women,1800
33,women,women,9244
34,women,women,8588
35,women,women,9801
36,women,women,3004
37,women,women,3060
38,women,women,9240
39,women,women,9657
40,women,women,8822
41,women,women,9272
42,women,women,8866
43,women,women,2764
44,women,women,9268
45,women,women,5888
46,women,women,8356
47,women,women,3844
48,women,women,2345
49,women,women,9490
50,men,men,6707
51,men,men,3057
52,men,men,4676
53,men,men,5691
54,men,men,7600
55,men,men,4656
56,men,men,4785
57,men,men,3956
58,men,men,9451
59,men,men,6788
60,men,men,4592
61,men,men,8032
62,men,men,6567
63,men,men,9508
64,men,men,6406
65,men,men,3123
66,men,men,5858
67,men,men,7563
68,men,men,9309
69,men,men,1793
70,men,men,7499
71,men,men,5667
72,men,men,3321
73,men,men,7223
74,men,men,4248
75,men,men,6736
76,men,men,1915
77,men,men,7106
78,men,men,2868
79,men,men,5827
80,men,men,7425
81,men,men,5306
82,men,men,8540
83,men,men,2354
84,men,men,1485
85,men,men,4502
86,men,men,4533
87,men,men,9511
88,men,men,4372
89,men,men,2761
90,men,men,8924
91,men,men,6580
92,men,men,3080
93,men,men,4426
94,men,men,9665
95,men,men,1846
96,men,men,6353
97,men,men,6816
98,men,men,4647
99,men,men,1412
100,person,person,5912
101,person,person,2045
102,person,person,9444
103,person,person,6117
104,person,person,3011
105,person,person,5393
106,person,person,9699
107,person,person,4528
108,person,person,8020
109,person,person,9108
110,person,person,5472
111,person,person,6341
112,person,person,1429
113,person,person,3328
114,person,person,3875
115,person,person,2054
116,person,person,4817
117,person,person,5311
118,person,person,1423
119,person,person,7713
120,person,person,1208
121,person,person,2988
122,person,person,6727
123,person,person,8093
124,person,person,2344
125,person,person,9265
126,person,person,4807
127,person,person,4367
128,person,person,4226
129,person,person,3221
130,person,person,6833
131,person,person,3034
132,person,person,8515
133,person,person,5347
134,person,person,7734
135,person,person,5229
136,person,person,2470
137,person,person,2978
138,person,person,4350
139,person,person,5772
140,person,person,2333
141,person,person,8264
142,person,person,5042
143,person,person,4916
144,person,person,6374
145,person,person,5980
146,person,person,7988
147,person,person,4367
148,person,person,9271
149,person,person,3568
150,hat,hat,5234
151,hat,hat,9497
152,hat,hat,2125
153,hat,hat,6785
154,hat,hat,1401
155,hat,hat,7763
156,hat,hat,5517
157,hat,hat,2996
158,hat,hat,7803
159,hat,hat,2976
160,hat,hat,1287
161,hat,hat,4685
162,hat,hat,7538
163,hat,hat,1765
164,hat,hat,5114
165,hat,hat,5583
166,hat,hat,3506
167,hat,hat,7986
168,hat,hat,8349
169,hat,hat,3206
170,hat,hat,2081
171,hat,hat,5081
172,hat,hat,8980
173,hat,hat,9350
174,hat,hat,9185
175,hat,hat,5058
176,hat,hat,1783
177,hat,hat,8635
178,hat,hat,7645
179,hat,hat,4608
180,hat,hat,8676
181,hat,hat,8133
182,hat,hat,2680
183,hat,hat,4198
184,hat,hat,1765
185,hat,hat,8775
186,hat,hat,7326
187,hat,hat,2449
188,hat,hat,5512
189,hat,hat,4437
190,hat,hat,7936
191,hat,hat,7061
192,hat,hat,3191
193,hat,hat,9010
194,hat,hat,6194
195,hat,hat,1236
196,hat,hat,3470
197,hat,hat,1687
198,hat,hat,7110
199,hat,hat,1534
200,apple,apple,6587
201,apple,apple,3854
202,apple,apple,1278
203,apple,apple,8654
204,apple,apple,5505
205,apple,apple,2117
206,apple,apple,4725
207,apple,apple,5341
208,apple,apple,6780
209,apple,apple,5621
210,apple,apple,1575
211,apple,apple,7350
212,apple,apple,2994
213,apple,apple,6138
214,apple,apple,4118
215,apple,apple,3201
216,apple,apple,9733
217,apple,apple,1238
218,apple,apple,4973
219,apple,apple,5874
220,apple,apple,3435
221,apple,apple,6741
222,apple,apple,3484
223,apple,apple,2405
224,apple,apple,7500
225,apple,apple,2599
226,apple,apple,9460
227,apple,apple,2858
228,apple,apple,2828
229,apple,apple,5427
230,apple,apple,5123
231,apple,apple,1381
232,apple,apple,3261
233,apple,apple,6567
234,apple,apple,2130
235,apple,apple,2680
236,apple,apple,4540
237,apple,apple,3097
238,apple,apple,5676
239,apple,apple,3849
240,apple,apple,6637
241,apple,apple,3038
242,apple,apple,8970
243,apple,apple,5834
244,apple,apple,4310
245,apple,apple,9449
246,apple,apple,1340
247,apple,apple,7210
248,apple,apple,4842
249,apple,apple,5026
250,bamboo,bamboo,4188
251,bamboo,bamboo,3867
252,bamboo,bamboo,9760
253,bamboo,bamboo,2079
254,bamboo,bamboo,2023
255,bamboo,bamboo,1351
256,bamboo,bamboo,3562
257,bamboo,bamboo,5771
258,bamboo,bamboo,5209
259,bamboo,bamboo,7114
260,bamboo,bamboo,9573
261,bamboo,bamboo,2423
262,bamboo,bamboo,8651
263,bamboo,bamboo,8485
264,bamboo,bamboo,6685
265,bamboo,bamboo,6576
266,bamboo,bamboo,4649
267,bamboo,bamboo,6258
268,bamboo,bamboo,4076
269,bamboo,bamboo,2358
270,bamboo,bamboo,6617
271,bamboo,bamboo,4830
272,bamboo,bamboo,2841
273,bamboo,bamboo,5392
274,bamboo,bamboo,7263
275,bamboo,bamboo,6863
276,bamboo,bamboo,3459
277,bamboo,bamboo,9843
278,bamboo,bamboo,7599
279,bamboo,bamboo,7138
280,bamboo,bamboo,7709
281,bamboo,bamboo,6246
282,bamboo,bamboo,5245
283,bamboo,bamboo,2310
284,bamboo,bamboo,6236
285,bamboo,bamboo,5733
286,bamboo,bamboo,2448
287,bamboo,bamboo,4172
288,bamboo,bamboo,3796
289,bamboo,bamboo,7674
290,bamboo,bamboo,5147
291,bamboo,bamboo,2682
292,bamboo,bamboo,7009
293,bamboo,bamboo,2429
294,bamboo,bamboo,8714
295,bamboo,bamboo,7546
296,bamboo,bamboo,4937
297,bamboo,bamboo,1476
298,bamboo,bamboo,3033
299,bamboo,bamboo,3383
