erased_artist,prompt_artist,prompt,score1,score2,score3
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,31.393661499023438,25.208860397338867,31.75102996826172
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,26.187259674072266,24.46894645690918,24.125831604003906
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,32.441978454589844,24.659317016601562,30.12045669555664
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,30.72945785522461,19.59748649597168,30.79686164855957
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,30.776426315307617,22.769317626953125,30.966482162475586
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,29.534828186035156,23.022300720214844,28.497398376464844
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,25.49934959411621,19.949739456176758,25.58434295654297
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,30.064531326293945,23.6138858795166,30.423498153686523
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,30.864290237426758,20.139142990112305,31.015079498291016
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,30.447002410888672,23.2774658203125,29.80983543395996
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,29.97080421447754,21.098651885986328,28.599321365356445
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,32.55780792236328,22.66143226623535,31.8393497467041
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,32.157405853271484,24.170726776123047,30.901199340820312
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,30.190940856933594,22.270692825317383,30.501779556274414
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,31.02544593811035,23.865381240844727,29.780261993408203
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired depiction of a dystopian future,27.787260055541992,24.709957122802734,25.66464614868164
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired futuristic city,30.746763229370117,22.628698348999023,30.636089324951172
