erased_artist,prompt_artist,prompt,score1,score2,score3
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,29.315685272216797,23.44911766052246,30.27427864074707
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,24.43977928161621,21.040056228637695,23.9283504486084
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,31.50487518310547,24.3215389251709,30.19040298461914
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,28.310251235961914,22.80072784423828,26.2718505859375
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,26.978973388671875,19.943763732910156,28.621854782104492
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,32.07353973388672,22.893836975097656,31.96011734008789
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,25.888629913330078,21.508163452148438,24.143653869628906
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,31.119367599487305,23.182069778442383,30.87671661376953
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,32.87513732910156,20.279165267944336,31.017250061035156
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,29.96148109436035,23.882896423339844,30.183835983276367
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,28.421480178833008,19.30478858947754,27.44634437561035
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,32.76404571533203,23.68348503112793,32.06686019897461
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,28.65300178527832,22.390947341918945,28.505361557006836
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,34.523746490478516,23.64298439025879,33.72632598876953
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,30.760271072387695,22.51215934753418,30.76314926147461
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired depiction of a dystopian future,29.738605499267578,24.458480834960938,27.901920318603516
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired futuristic city,31.60175132751465,24.193069458007812,29.472034454345703
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a mythical beast,26.566993713378906,22.983089447021484,23.786609649658203
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired landscape of an alien planet,28.913555145263672,20.76925277709961,27.989757537841797
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a post-apocalyptic world,28.32706069946289,22.74884796142578,26.88199806213379
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful countryside,34.414405822753906,32.48093795776367,30.243549346923828
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired winter wonderland,34.46049499511719,29.36174774169922,28.36574935913086
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a quaint village,34.389076232910156,32.957130432128906,28.990358352661133
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage in the woods,34.77581024169922,27.802759170532227,31.31925392150879
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a serene lakeside,32.23992156982422,27.89690399169922,30.66693878173828
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired scene of a charming town,34.7330207824707,33.273738861083984,29.089828491210938
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil forest,32.52357864379883,27.373010635375977,30.325963973999023
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired garden with a cozy cottage,35.119747161865234,26.592803955078125,31.723451614379883
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy cabin in the snow,36.502471923828125,27.80706214904785,34.01176452636719
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a lighthouse,38.44309616088867,30.8034725189209,33.610416412353516
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful harbor,32.73496627807617,30.745655059814453,28.451478958129883
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage by the sea,32.851593017578125,29.68951416015625,26.71375846862793
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a quaint street,36.17323684692383,34.68138122558594,31.80612564086914
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a peaceful church,39.21316146850586,30.954519271850586,33.32393264770508
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil stream,33.42906951904297,29.36301612854004,31.488847732543945
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a magical forest,34.70231246948242,31.291624069213867,28.46842384338379
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy autumn scene,30.7042179107666,29.932659149169922,25.952016830444336
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired painting of a serene meadow,33.62896728515625,27.051681518554688,32.72389602661133
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a peaceful park,34.51844024658203,30.358821868896484,30.512508392333984
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a charming bridge,36.886234283447266,32.752769470214844,31.474136352539062
KellyMcKernan,kilianeng,Neon-lit cyberpunk cityscape by Kilian Eng,35.22591018676758,28.115278244018555,35.673988342285156
KellyMcKernan,kilianeng,Interstellar space station by Kilian Eng,24.836748123168945,24.401100158691406,26.82406997680664
KellyMcKernan,kilianeng,Mysterious temple ruins by Kilian Eng,20.487611770629883,20.157114028930664,28.555768966674805
KellyMcKernan,kilianeng,Artificial intelligence character by Kilian Eng,22.46181869506836,22.846214294433594,24.488847732543945
KellyMcKernan,kilianeng,Science fiction book cover by Kilian Eng,30.548572540283203,22.615617752075195,33.39110565185547
KellyMcKernan,kilianeng,Otherworldly landscape by Kilian Eng,29.33851432800293,24.502103805541992,29.876005172729492
KellyMcKernan,kilianeng,Robotic creature design by Kilian Eng,29.35013198852539,25.968975067138672,30.913633346557617
KellyMcKernan,kilianeng,Fantasy knight armor by Kilian Eng,28.929351806640625,23.126745223999023,31.883386611938477
KellyMcKernan,kilianeng,Cybernetic plant life by Kilian Eng,28.333229064941406,24.008214950561523,30.977731704711914
KellyMcKernan,kilianeng,Vaporwave-inspired digital art by Kilian Eng,27.435039520263672,23.208784103393555,29.847299575805664
KellyMcKernan,kilianeng,Retro futuristic vehicle design by Kilian Eng,31.64944076538086,22.948095321655273,31.792184829711914
KellyMcKernan,kilianeng,Cosmic horror illustration by Kilian Eng,29.896074295043945,25.902679443359375,29.616323471069336
KellyMcKernan,kilianeng,Galactic exploration scene by Kilian Eng,24.653682708740234,21.97442626953125,29.910310745239258
KellyMcKernan,kilianeng,Alien planet ecosystem by Kilian Eng,27.574697494506836,23.929670333862305,30.297269821166992
KellyMcKernan,kilianeng,Post-apocalyptic sci-fi landscape by Kilian Eng,26.778045654296875,23.63113784790039,31.562185287475586
