erased_artist,prompt_artist,prompt,score1,score2,score3
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,32.4842414855957,25.98462677001953,32.11988067626953
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,28.256362915039062,21.37635040283203,29.42720603942871
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,29.852825164794922,24.08550453186035,30.27382469177246
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,28.851181030273438,24.086767196655273,28.678203582763672
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,31.48410987854004,23.965877532958984,30.529218673706055
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,25.9498233795166,23.860578536987305,23.990171432495117
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,18.462059020996094,18.9985408782959,20.30470848083496
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,29.836044311523438,21.31891632080078,29.326820373535156
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,26.11905860900879,21.96554183959961,25.916719436645508
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,28.834407806396484,21.532690048217773,29.364364624023438
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,32.871490478515625,25.613693237304688,29.920459747314453
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,26.10970687866211,19.15839195251465,26.6929988861084
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,33.031185150146484,25.630205154418945,28.981718063354492
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,30.67995262145996,22.875638961791992,29.626590728759766
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,31.23558807373047,24.11823844909668,28.27778434753418
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,29.37567138671875,21.12709617614746,27.856916427612305
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,29.173385620117188,20.194717407226562,28.60187339782715
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,33.56715774536133,23.018577575683594,32.35556411743164
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,32.30595016479492,20.664321899414062,31.297557830810547
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,32.15532302856445,21.222015380859375,31.26589584350586
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,30.889219284057617,23.011335372924805,30.615673065185547
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,25.993690490722656,20.245046615600586,28.04694175720215
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,26.611238479614258,20.080602645874023,28.800004959106445
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,31.49874496459961,20.89107894897461,31.886226654052734
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,25.675350189208984,19.926029205322266,28.076034545898438
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,31.62688636779785,23.839750289916992,31.220027923583984
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,31.817310333251953,23.442655563354492,31.48527717590332
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,29.94537925720215,22.726116180419922,28.89790153503418
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,31.01179313659668,21.737110137939453,31.543684005737305
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,32.16124725341797,23.44355010986328,31.92756462097168
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,26.034746170043945,20.20183753967285,26.286394119262695
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,29.87915802001953,23.79901695251465,30.647193908691406
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,28.00798988342285,22.021648406982422,28.663686752319336
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,28.645509719848633,23.673837661743164,26.91594886779785
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,28.96851921081543,24.170528411865234,28.19931411743164
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,29.5379695892334,23.61499786376953,29.773208618164062
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,31.129287719726562,22.227985382080078,32.16796112060547
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,31.913963317871094,22.84157943725586,31.816001892089844
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,31.199398040771484,23.41783905029297,30.89461898803711
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,30.844926834106445,24.058338165283203,30.49551010131836
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,31.794429779052734,18.809913635253906,31.061113357543945
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,27.896955490112305,17.158184051513672,26.881393432617188
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,32.31468963623047,20.31174659729004,30.647533416748047
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,31.238508224487305,20.547163009643555,30.598215103149414
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,30.06572723388672,18.74626350402832,29.382604598999023
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,29.49775505065918,22.60931968688965,28.955596923828125
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,31.262142181396484,25.121234893798828,29.847652435302734
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,25.911989212036133,23.2169246673584,25.664413452148438
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,28.475210189819336,23.931015014648438,27.853816986083984
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,28.654617309570312,24.19278335571289,28.331491470336914
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,30.876970291137695,20.28338050842285,30.266660690307617
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,30.8746337890625,21.059986114501953,29.753297805786133
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,29.877721786499023,18.73387908935547,28.794675827026367
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,28.26755142211914,21.490570068359375,26.7242374420166
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,31.943058013916016,23.495620727539062,29.356311798095703
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,32.6826286315918,23.266796112060547,31.840049743652344
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,26.149988174438477,20.513044357299805,27.169204711914062
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,30.223310470581055,23.035320281982422,31.425369262695312
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,32.862464904785156,23.364919662475586,32.54661560058594
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,31.65959358215332,23.442649841308594,31.055286407470703
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,32.12638473510742,24.549345016479492,30.942668914794922
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,29.379732131958008,22.970369338989258,28.770843505859375
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,30.1873836517334,23.87284278869629,29.75619125366211
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,27.082454681396484,22.02908706665039,26.76466178894043
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,29.234468460083008,23.606061935424805,29.049720764160156
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,31.06418228149414,23.38733673095703,31.021743774414062
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,31.840246200561523,23.21990966796875,32.60149383544922
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,33.402801513671875,24.015777587890625,32.8948860168457
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,30.982511520385742,24.12899398803711,30.41774559020996
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,31.55573844909668,24.10405921936035,30.883861541748047
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,29.054100036621094,22.992923736572266,29.135725021362305
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,28.957027435302734,22.392499923706055,27.883888244628906
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,30.099830627441406,24.23349380493164,28.452646255493164
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,31.138593673706055,24.33464241027832,29.534255981445312
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,30.425416946411133,24.2147274017334,29.239612579345703
